id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
179,flintactiontracker.michigan.gov,"State of Michigan",NULL,44.272508,-86.272502,NULL,"1672 US-31, Manistee, MI 49660"
180,future.michigan.gov,"State of Michigan",NULL,44.272508,-86.272502,NULL,"1672 US-31, Manistee, MI 49660"
181,greengov.data.ca.gov,"State of California",NULL,38.576780,-121.494890,NULL,"1315 10th St, Sacramento, CA 95814"
182,hartstat.hartford.gov,"City of Hartford, CT",NULL,41.762720,-72.674220,NULL,"550 Main St #1, Hartford, CT 06103"
183,health.data.ny.gov,"State of New York",NULL,40.749776,-73.974898,NULL,"633 3rd Ave 38th Floor, New York, NY 10017"
184,healthdata.nj.gov,"State of New Jersey",NULL,40.219900,-74.764060,NULL,"125 W State St, Trenton, NJ 08608"
185,hsmp-data.aspe.hhs.gov,"U.S. Department of Health and Human Services (HHS)",NULL,38.884830,-77.015260,NULL,"330 C St SW, Washington, DC 20416"
186,impact.glispa.org,"Global Island Partnership (GLISPA)",NULL,40.750031,-73.969191,NULL,"777 United Nations Plaza, 5th Floor New York, NY 10017-3521"
187,impact.stlouisco.com,"St. Louis County, MO",NULL,38.648116,-90.338923,NULL,"105 S Central Ave, St. Louis, MO 63105"
188,information.stpaul.gov,"City of Saint Paul, MN",NULL,44.943920,-93.093480,NULL,"15 W Kellogg Blvd #310, St Paul, MN 55102"
189,insights.cincinnati-oh.gov,"City of Cincinnati, OH",NULL,39.099528,-84.519066,NULL,"805 Central Ave #110, Cincinnati, OH 45202"
190,ita.data.commerce.gov,"U.S. Department of Commerce International Trade Administration",NULL,38.892647,-77.032818,NULL,"1401 Constitution Ave NW, Washington, DC 20230"
191,kcstat.kcmo.org,"City of Kansas City, MO",NULL,39.100781,-94.577859,NULL,"414 E 12th St, Kansas City, MO 64106"
192,mbda.data.commerce.gov,"U.S. Minority Business Development Agency",NULL,38.892647,-77.032818,NULL,"1401 Constitution Ave NW, Washington, DC 20230"
193,midashboard.michigan.gov,"State of Michigan",NULL,44.272508,-86.272502,NULL,"1672 US-31, Manistee, MI 49660"
194,mydata.iadb.org,"Inter-American Development Bank",NULL,38.899409,-77.030529,NULL,"1300 New York Ave NW, Washington, DC 20577"
195,nist.data.commerce.gov,"National Institute of Standards and Technology (NIST)",NULL,39.144390,-77.216530,NULL,"100 Bureau Dr, Gaithersburg, MD 20899"
196,noaa.data.commerce.gov,"National Oceanic and Atmospheric Administration (NOAA)",NULL,38.892647,-77.032818,NULL,"1401 Constitution Ave NW, Washington, DC 20230"
197,ntia.data.commerce.gov,"National Telecommunications and Information Administration (NTIA)",NULL,38.892647,-77.032818,NULL,"1401 Constitution Ave NW, Washington, DC 20230"
198,ntis.data.commerce.gov,"National Technical Information Service (NTIS)",NULL,39.144390,-77.216530,NULL,"100 Bureau Dr, Gaithersburg, MD 20899"
199,open.piercecountywa.gov,"Pierce County, WA",NULL,47.253304,-122.445237,NULL,"930 Tacoma Ave S, Tacoma, WA 98402"
200,opendata.ci.richmond.ca.us,"City of Richmond, CA",NULL,37.936775,-122.342778,NULL,"440 Civic Center Plaza, Richmond, CA 94804"
201,opendata.cityofhenderson.com,"City of Henderson, NV",NULL,36.030216,-114.982310,NULL,"240 S Water St, Henderson, NV 89015"
202,opendata.cityofmesquite.com,"City of Mesquite, TX",NULL,32.762042,-96.599045,NULL,"757 N S Galloway Ave, Mesquite, TX 75149"
203,opendata.fcc.gov,"U.S. Federal Communications Commission",NULL,38.884570,-77.028200,NULL,"445 12th St SW, Washington, DC 20554"
